,Date,Open,High,Low,Close,Volume,Market Cap
742,"Mar 17, 2016",0.000163,0.000163,0.000101,0.000126,"45,644","1,624,040"
743,"Mar 16, 2016",0.000175,0.000187,0.000134,0.000163,"61,496","1,746,110"
744,"Mar 15, 2016",0.000192,0.000196,0.000175,0.000175,"34,318","1,905,010"
745,"Mar 14, 2016",0.000194,0.000208,0.000186,0.000192,"38,928","1,928,900"
746,"Mar 13, 2016",0.000177,0.000208,0.000174,0.000194,"42,651","1,750,890"
747,"Mar 12, 2016",0.000190,0.000206,0.000169,0.000177,"52,384","1,877,620"
748,"Mar 11, 2016",0.000121,0.000227,0.000121,0.000190,"190,205","1,189,550"
749,"Mar 10, 2016",0.000087,0.000136,0.000083,0.000121,"52,866","856,483"
750,"Mar 09, 2016",0.000066,0.000111,0.000066,0.000091,"68,824","650,804"
751,"Mar 08, 2016",0.000050,0.000070,0.000050,0.000066,"16,558","489,448"
752,"Mar 07, 2016",0.000041,0.000062,0.000041,0.000050,"17,662","399,802"
753,"Mar 06, 2016",0.000040,0.000045,0.000040,0.000041,"3,564","390,931"
754,"Mar 05, 2016",0.000041,0.000045,0.000036,0.000040,"6,924","400,549"
755,"Mar 04, 2016",0.000042,0.000046,0.000037,0.000041,"4,682","407,877"
756,"Mar 03, 2016",0.000043,0.000046,0.000038,0.000038,"5,271","413,643"
757,"Mar 02, 2016",0.000039,0.000068,0.000035,0.000043,"5,842","379,333"
758,"Mar 01, 2016",0.000048,0.000053,0.000039,0.000039,"4,875","464,993"
759,"Feb 29, 2016",0.000052,0.000057,0.000048,0.000048,"7,001","501,376"
760,"Feb 28, 2016",0.000048,0.000056,0.000043,0.000052,"8,798","458,031"
761,"Feb 27, 2016",0.000052,0.000056,0.000043,0.000048,"7,881","496,895"
762,"Feb 26, 2016",0.000051,0.000056,0.000047,0.000052,"7,276","488,528"
763,"Feb 25, 2016",0.000055,0.000063,0.000047,0.000051,"4,831","527,529"
764,"Feb 24, 2016",0.000055,0.000063,0.000047,0.000055,"9,964","525,935"
765,"Feb 23, 2016",0.000066,0.000076,0.000055,0.000055,"9,878","627,630"
766,"Feb 22, 2016",0.000075,0.000091,0.000057,0.000066,"11,757","706,145"
767,"Feb 21, 2016",0.000086,0.000088,0.000064,0.000075,184,"809,956"
768,"Feb 20, 2016",0.000087,0.000093,0.000078,0.000086,725,"820,443"
769,"Feb 19, 2016",0.000056,0.000099,0.000052,0.000087,"1,692","531,376"
770,"Feb 18, 2016",0.000042,0.000059,0.000042,0.000056,"5,967","400,078"
771,"Feb 17, 2016",0.000040,0.000046,0.000037,0.000042,"3,905","383,130"
772,"Feb 16, 2016",0.000032,0.000045,0.000032,0.000040,"9,749","298,192"
773,"Feb 15, 2016",0.000033,0.000044,0.000032,0.000032,"3,749","310,984"
774,"Feb 14, 2016",0.000043,0.000045,0.000032,0.000033,"5,644","406,168"
775,"Feb 13, 2016",0.000034,0.000044,0.000031,0.000043,"9,553","324,920"
776,"Feb 12, 2016",0.000031,0.000034,0.000023,0.000034,"6,962","288,621"
777,"Feb 11, 2016",0.000027,0.000037,0.000027,0.000031,"15,670","258,753"
778,"Feb 10, 2016",0.000019,0.000033,0.000019,0.000030,"10,365","177,725"
779,"Feb 09, 2016",0.000015,0.000022,0.000015,0.000019,"4,672","141,280"
780,"Feb 08, 2016",0.000019,0.000019,0.000015,0.000015,"1,063","177,439"
781,"Feb 07, 2016",0.000019,0.000019,0.000015,0.000019,"3,525","177,082"
782,"Feb 06, 2016",0.000019,0.000019,0.000015,0.000019,"1,609","180,591"
783,"Feb 05, 2016",0.000017,0.000023,0.000015,0.000019,"3,074","162,811"
784,"Feb 04, 2016",0.000015,0.000017,0.000015,0.000017,261,"143,682"
785,"Feb 03, 2016",0.000016,0.000018,0.000012,0.000015,333,"147,739"
786,"Feb 02, 2016",0.000015,0.000019,0.000011,0.000016,387,"144,394"
787,"Feb 01, 2016",0.000015,0.000019,0.000015,0.000015,"1,199","139,313"
788,"Jan 31, 2016",0.000016,0.000019,0.000015,0.000015,"1,869","147,082"
789,"Jan 30, 2016",0.000015,0.000018,0.000015,0.000016,654,"139,770"
790,"Jan 29, 2016",0.000015,0.000018,0.000014,0.000015,494,"141,877"
